"filename", "language", "JavaScript", "SVG", "JSON", "Markdown", "MongoDB", "JSON with Comments", "SCSS", "HTML", "Protocol Buffers", "comment", "blank", "total"
"c:\Users\ash\Desktop\Antler\client\README.md", "Markdown", 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 32, 69
"c:\Users\ash\Desktop\Antler\client\craco.config.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 9
"c:\Users\ash\Desktop\Antler\client\jsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
"c:\Users\ash\Desktop\Antler\client\package-lock.json", "JSON", 0, 0, 41801, 0, 0, 0, 0, 0, 0, 0, 1, 41802
"c:\Users\ash\Desktop\Antler\client\package.json", "JSON", 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 1, 54
"c:\Users\ash\Desktop\Antler\client\public\YPricingData.proto", "Protocol Buffers", 0, 0, 0, 0, 0, 0, 0, 0, 66, 0, 7, 73
"c:\Users\ash\Desktop\Antler\client\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 3, 23
"c:\Users\ash\Desktop\Antler\client\public\manifest.json", "JSON", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 1, 16
"c:\Users\ash\Desktop\Antler\client\src\actionTypes.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\ash\Desktop\Antler\client\src\api\YF.js", "JavaScript", 94, 0, 0, 0, 0, 0, 0, 0, 0, 12, 12, 118
"c:\Users\ash\Desktop\Antler\client\src\api\apiConsts.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\ash\Desktop\Antler\client\src\api\apiUtils.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Users\ash\Desktop\Antler\client\src\api\factory.js", "JavaScript", 41, 0, 0, 0, 0, 0, 0, 0, 0, 12, 13, 66
"c:\Users\ash\Desktop\Antler\client\src\api\stock.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"c:\Users\ash\Desktop\Antler\client\src\api\user.js", "JavaScript", 65, 0, 0, 0, 0, 0, 0, 0, 0, 15, 14, 94
"c:\Users\ash\Desktop\Antler\client\src\components\App.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"c:\Users\ash\Desktop\Antler\client\src\components\Home\Home.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 19
"c:\Users\ash\Desktop\Antler\client\src\components\Home\HomeContent.js", "JavaScript", 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 101
"c:\Users\ash\Desktop\Antler\client\src\components\Home\HomeHero.js", "JavaScript", 135, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10, 150
"c:\Users\ash\Desktop\Antler\client\src\components\Login.js", "JavaScript", 192, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18, 213
"c:\Users\ash\Desktop\Antler\client\src\components\Logout.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"c:\Users\ash\Desktop\Antler\client\src\components\Portfolio\Portfolio.js", "JavaScript", 102, 0, 0, 0, 0, 0, 0, 0, 0, 6, 17, 125
"c:\Users\ash\Desktop\Antler\client\src\components\Portfolio\PortfolioTable.js", "JavaScript", 119, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 133
"c:\Users\ash\Desktop\Antler\client\src\components\Profile\ModalContentAddFunds.js", "JavaScript", 45, 0, 0, 0, 0, 0, 0, 0, 0, 9, 7, 61
"c:\Users\ash\Desktop\Antler\client\src\components\Profile\ModalContentFF.js", "JavaScript", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 42
"c:\Users\ash\Desktop\Antler\client\src\components\Profile\ModalContentPosts.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 9, 3, 29
"c:\Users\ash\Desktop\Antler\client\src\components\Profile\Profile.js", "JavaScript", 136, 0, 0, 0, 0, 0, 0, 0, 0, 9, 14, 159
"c:\Users\ash\Desktop\Antler\client\src\components\Profile\ProfileContent.js", "JavaScript", 221, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16, 238
"c:\Users\ash\Desktop\Antler\client\src\components\Register.js", "JavaScript", 265, 0, 0, 0, 0, 0, 0, 0, 0, 1, 21, 287
"c:\Users\ash\Desktop\Antler\client\src\components\Routes.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 27
"c:\Users\ash\Desktop\Antler\client\src\components\Stock\CommentSection.js", "JavaScript", 143, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13, 158
"c:\Users\ash\Desktop\Antler\client\src\components\Stock\Graph.js", "JavaScript", 48, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 59
"c:\Users\ash\Desktop\Antler\client\src\components\Stock\ModalContentBuy.js", "JavaScript", 72, 0, 0, 0, 0, 0, 0, 0, 0, 15, 10, 97
"c:\Users\ash\Desktop\Antler\client\src\components\Stock\ModalContentSell.js", "JavaScript", 95, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 106
"c:\Users\ash\Desktop\Antler\client\src\components\Stock\Stock.js", "JavaScript", 314, 0, 0, 0, 0, 0, 0, 0, 0, 7, 28, 349
"c:\Users\ash\Desktop\Antler\client\src\components\Stock\StockCalendarDates.js", "JavaScript", 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 78
"c:\Users\ash\Desktop\Antler\client\src\components\Stock\StockMetrics.js", "JavaScript", 72, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 80
"c:\Users\ash\Desktop\Antler\client\src\components\Stock\StockOfficers.js", "JavaScript", 36, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 40
"c:\Users\ash\Desktop\Antler\client\src\components\Watchlist\StocksTable.js", "JavaScript", 77, 0, 0, 0, 0, 0, 0, 0, 0, 16, 9, 102
"c:\Users\ash\Desktop\Antler\client\src\components\Watchlist\Watchlist.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"c:\Users\ash\Desktop\Antler\client\src\components\Watchlist\WatchlistTable.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 23
